y,dNdeta,dNdy,PreEq,Hydro
0,2240,2.95986,2.84293,0.116936
0,2240,2.73202,2.60885,0.12317
0,2240,2.75306,2.63889,0.114173
0,2240,2.73141,2.61792,0.113495
0,2240,2.769,2.6568,0.112201
0,2240,2.69622,2.57552,0.120694
0,2240,2.70891,2.58847,0.120436
0,2240,2.78529,2.66635,0.118944
0,2240,2.94956,2.82724,0.122322
0,2240,2.72148,2.60209,0.119399
0,2240,2.68287,2.56601,0.116856
0,2240,2.53683,2.41217,0.124661
0,2240,2.49112,2.37372,0.117395
0,2240,2.94879,2.83207,0.116716
0,2240,2.64207,2.52508,0.11699
0,2240,2.54839,2.4288,0.119591
0,2240,2.68875,2.56655,0.122203
0,2240,2.37365,2.26043,0.113218
0,2240,2.53365,2.4141,0.119545
0,2240,2.73564,2.61728,0.118355
0,2240,2.63973,2.52737,0.112355
0,2240,2.599,2.48218,0.116815
0,2240,2.63579,2.5084,0.127396
0,2240,2.42925,2.30711,0.122134
0,2240,2.51616,2.39468,0.121477
0,2240,2.73255,2.60862,0.123937
0,2240,2.45474,2.34092,0.113824
0,2240,2.69528,2.58068,0.114605
0,2240,2.58372,2.46818,0.115541
0,2240,2.5963,2.47982,0.116481
0,2240,2.63063,2.5051,0.125535
0,2240,2.77467,2.65576,0.118903
0,2240,2.73351,2.61296,0.120542
0,2240,2.79128,2.66645,0.124835
0,2240,2.58688,2.47446,0.112418
0,2240,2.70512,2.59243,0.112689
0,2240,2.90042,2.78395,0.116468
0,2240,3.15918,3.04715,0.112034
0,2240,2.90616,2.78909,0.117065
0,2240,2.77162,2.65839,0.113227
0,2240,2.6737,2.55847,0.115235
0,2240,2.91281,2.79342,0.119394
0,2240,2.8693,2.75932,0.109977
0,2240,2.76332,2.65015,0.11317
0,2240,2.69669,2.56952,0.127165
0,2240,2.70231,2.57818,0.124123
0,2240,2.45648,2.34438,0.112098
0,2240,2.48877,2.37271,0.116054
0,2240,2.5954,2.47689,0.118513
0,2240,2.60642,2.48521,0.121209
0,2240,2.70854,2.58818,0.120357
0,2240,2.67282,2.5557,0.117117
0,2240,2.62345,2.50868,0.114771
0,2240,2.73983,2.62845,0.111374
0,2240,2.52756,2.40815,0.119412
0,2240,2.70626,2.58382,0.122436
0,2240,2.66485,2.54827,0.116586
0,2240,2.94208,2.82661,0.115461
